"Iterations","Rewards","Time","Steps"
"1","-7.609999999999989","129","263"
"2","-5.16","29","18"
"3","-5.91","36","93"
"4","-6.220000000000001","15","124"
"5","4.06","19","96"
"6","-5.41","23","43"
"7","-5.13","16","15"
"8","-5.59","52","61"
"9","-5.16","11","18"
"10","-5.14","17","16"
"11","3.799999999999999","17","122"
"12","-5.16","9","18"
"13","-5.83","29","85"
"14","-5.09","17","11"
"15","3.0399999999999983","19","198"
"16","4.289999999999999","25","73"
"17","-8.739999999999965","17","376"
"18","4.75","16","27"
"19","4.63","16","39"
"20","-6.030000000000001","20","105"
"21","4.35","21","67"
"22","4.22","14","80"
"23","4.62","25","40"
"24","-5.390000000000001","18","41"
"25","4.71","14","31"
"26","-15.129999999999828","23","1015"
"27","4.4399999999999995","16","58"
"28","4.66","23","36"
"29","3.829999999999999","16","119"
"30","-5.14","30","16"
"31","-5.7","16","72"
"32","4.68","17","34"
"33","4.7","13","32"
"34","4.74","17","28"
"35","1.2600000000000358","18","376"
"36","4.6499999999999995","18","37"
"37","4.71","35","31"
"38","4.76","34","26"
"39","3.9699999999999993","13","105"
"40","-5.19","15","21"
"41","4.55","9","47"
"42","4.81","22","21"
"43","-5.67","16","69"
"44","4.71","11","31"
"45","4.569999999999999","28","45"
"46","4.47","19","55"
"47","4.83","11","19"
"48","4.369999999999999","29","65"
"49","4.84","24","18"
"50","4.25","16","77"
"51","-5.11","19","13"
"52","-5.62","22","64"
"53","4.58","11","44"
"54","4.76","17","26"
"55","-5.21","22","23"
"56","4.81","10","21"
"57","4.74","22","28"
"58","4.209999999999999","28","81"
"59","4.62","88","40"
"60","4.7","31","32"
"61","4.43","36","59"
"62","4.83","35","19"
"63","2.850000000000002","32","217"
"64","4.6","13","42"
"65","4.66","29","36"
"66","3.469999999999999","34","155"
"67","-5.930000000000001","26","95"
"68","4.75","20","27"
"69","4.5","43","52"
"70","-5.73","29","75"
"71","-5.3500000000000005","36","37"
"72","4.279999999999999","74","74"
"73","4.47","19","55"
"74","4.77","16","25"
"75","4.43","11","59"
"76","4.8","20","22"
"77","4.72","18","30"
"78","4.78","17","24"
"79","1.7800000000000247","21","324"
"80","-5.2","15","22"
"81","3.8899999999999992","29","113"
"82","-5.53","39","55"
"83","4.54","17","48"
"84","4.58","16","44"
"85","4.33","21","69"
"86","4.85","18","17"
"87","4.33","24","69"
"88","4.46","21","56"
"89","-5.630000000000001","22","65"
"90","4.84","16","18"
"91","-5.19","17","21"
"92","-5.34","22","36"
"93","4.47","17","55"
"94","-6.300000000000001","19","132"
"95","4.64","18","38"
"96","4.71","18","31"
"97","-6.590000000000002","28","161"
"98","-5.65","20","67"
"99","-11.519999999999905","22","654"
"100","4.81","32","21"
"101","4.63","28","39"
"102","4.62","28","40"
"103","4.78","21","24"
"104","-5.26","26","28"
"105","4.72","30","30"
"106","4.66","23","36"
"107","-5.8500000000000005","23","87"
"108","4.47","35","55"
"109","4.7299999999999995","29","29"
"110","4.8","69","22"
"111","4.129999999999999","28","89"
"112","4.72","19","30"
"113","-5.32","23","34"
"114","4.63","40","39"
"115","3.689999999999999","31","133"
"116","-5.33","30","35"
"117","4.54","66","48"
"118","-5.470000000000001","21","49"
"119","1.7900000000000245","37","323"
"120","4.17","41","85"
"121","4.74","25","28"
"122","-5.3100000000000005","45","33"
"123","4.6899999999999995","41","33"
"124","-5.04","20","6"
"125","3.389999999999999","36","163"
"126","4.79","28","23"
"127","-5.45","49","47"
"128","4.74","98","28"
"129","-13.049999999999873","39","807"
"130","4.76","33","26"
"131","4.66","41","36"
"132","4.82","24","20"
"133","4.78","26","24"
"134","-7.489999999999991","29","251"
"135","-5.640000000000001","40","66"
"136","4.49","32","53"
"137","4.67","21","35"
"138","4.529999999999999","26","49"
"139","3.379999999999999","31","164"
"140","4.86","22","16"
"141","4.76","26","26"
"142","4.359999999999999","35","66"
"143","3.489999999999999","32","153"
"144","4.66","25","36"
"145","4.71","21","31"
"146","4.74","34","28"
"147","-5.36","37","38"
"148","-5.25","25","27"
"149","4.77","33","25"
"150","-5.2","26","22"
"151","4.59","34","43"
"152","4.85","24","17"
"153","-5.640000000000001","21","66"
"154","4.72","24","30"
"155","4.6899999999999995","46","33"
"156","4.74","34","28"
"157","-5.83","47","85"
"158","4.81","27","21"
"159","4.529999999999999","39","49"
"160","4.7299999999999995","35","29"
"161","-7.010000000000002","27","203"
"162","4.289999999999999","40","73"
"163","4.74","32","28"
"164","4.82","27","20"
"165","3.259999999999999","40","176"
"166","4.64","37","38"
"167","4.83","32","19"
"168","4.209999999999999","35","81"
"169","4.569999999999999","38","45"
"170","3.799999999999999","30","122"
"171","4.72","37","30"
"172","4.46","44","56"
"173","4.34","32","68"
"174","4.78","36","24"
"175","4.75","51","27"
"176","4.47","39","55"
"177","-5.29","39","31"
"178","4.3999999999999995","52","62"
"179","4.63","56","39"
"180","4.6499999999999995","39","37"
"181","4.63","50","39"
"182","-5.2","49","22"
"183","4.72","28","30"
"184","3.379999999999999","39","164"
"185","4.6","36","42"
"186","-5.1","70","12"
"187","4.68","33","34"
"188","4.77","26","25"
"189","4.7299999999999995","32","29"
"190","4.6899999999999995","37","33"
"191","4.7299999999999995","42","29"
"192","3.8199999999999994","52","120"
"193","4.6499999999999995","38","37"
"194","4.8","40","22"
